ID	log2fold	p	p.adj
ENSG00000114268	4.35417831120707	0	0
ENSG00000156508	-3.02191110572363	0	0
ENSG00000165072	4.48918654197429	0	0
ENSG00000198901	-4.29901119593873	0	0
ENSG00000134057	-4.16710269131521	0	0
ENSG00000119950	4.11197059519457	0	0
ENSG00000104332	-3.02245223974517	0	0
ENSG00000198763	-5.15142813432447	0	0
ENSG00000265972	4.27908099163414	0	0
ENSG00000116133	-3.4931954687551	0	0
ENSG00000159399	5.20353109899441	0	0
ENSG00000198899	-5.73116320992339	0	0
ENSG00000088325	-3.46473189460874	0	0
ENSG00000214517	3.89311115745416	0	0
ENSG00000104419	4.67301902257143	0	0
ENSG00000163017	-5.9405882382886	0	0
ENSG00000173546	-2.63378025203559	0	0
ENSG00000102144	2.3092128652279	0	0
ENSG00000198786	-5.10900375411464	0	0
ENSG00000126787	-5.47298415483434	0	0
ENSG00000112984	-6.05404966825766	0	0
ENSG00000111674	3.25157316684368	0	0
ENSG00000198727	-5.31561815968762	0	0
ENSG00000168542	-4.90813465059271	0	0
ENSG00000210082	-5.00841406636701	0	0
ENSG00000059804	2.99786181885712	0	0
ENSG00000158406	5.1940481813845	0	0
ENSG00000152952	3.68122801202005	0	0
ENSG00000108821	-2.69854361472072	0	0
ENSG00000089685	-4.43618186283188	0	0
ENSG00000162772	4.16219164473886	0	0
ENSG00000180573	4.50531380421502	0	0
ENSG00000146674	6.86057974455972	0	0
ENSG00000130164	-4.24797750488746	0	0
ENSG00000090889	-4.30494895841568	0	0
ENSG00000176171	4.18268466826152	0	0
ENSG00000139629	-3.82921108626522	0	0
ENSG00000198804	-5.25662117731358	0	0
ENSG00000225630	-5.13169509165386	0	0
ENSG00000198886	-5.16306856621957	0	0
ENSG00000198888	-5.05301280084694	0	0
ENSG00000119938	4.44923838418293	0	0
ENSG00000117394	3.61352316425494	0	0
ENSG00000134333	2.6964527049704	0	0
ENSG00000228253	-6.09444285392699	0	0
ENSG00000147872	2.54046263456223	5.72556706344337e-305	3.03392819937896e-302
ENSG00000135766	3.44934254571571	1.12176129425419e-303	5.81764501009487e-301
ENSG00000112715	2.73939285266445	6.30428949398054e-299	3.201397008662e-296
ENSG00000079459	-2.67816781028937	2.50910927270644e-297	1.24815384739223e-294
ENSG00000024526	-3.63581377541297	8.6188449531906e-289	4.20168691468042e-286
ENSG00000171388	3.79594078775783	9.28051740212332e-287	4.43554140542658e-284
ENSG00000114480	2.39147210461082	1.48675292022431e-286	6.96915431355145e-284
ENSG00000117399	-5.24758485229383	1.53339671113128e-286	7.052178270533e-284
ENSG00000169679	-4.2280999872569	1.67712623757625e-285	7.57036148905945e-283
ENSG00000120437	-2.41024853343951	2.3348887085977e-282	1.03478022312852e-279
ENSG00000166851	-5.75429392382778	3.09128180963092e-282	1.34553560910275e-279
ENSG00000164692	-2.83234872767178	3.29224027955812e-282	1.40786590902156e-279
ENSG00000114023	3.53302278211449	9.89581279617785e-281	4.15880063632474e-278
ENSG00000128567	-2.84882718086581	6.36790653619778e-280	2.63080884440374e-277
ENSG00000106624	-3.71461526563233	7.99580070310857e-279	3.24829403563786e-276
ENSG00000158373	4.58620255717359	1.38033340786558e-278	5.51567652733173e-276
ENSG00000151640	3.34386541685539	1.60493354312122e-278	6.30971856670642e-276
ENSG00000099250	-2.43527520577255	6.34162474395073e-277	2.4536048116476e-274
ENSG00000166825	-3.75541134881105	1.09625432668987e-276	4.1751873770415e-274
ENSG00000168078	-3.78263014775185	6.12005723652201e-276	2.29502146369575e-273
ENSG00000175745	-2.42601760340349	5.51901993329275e-275	2.03827440718198e-272
ENSG00000113368	-3.97092591176966	1.50909602313559e-273	5.49018142745223e-271
ENSG00000138623	-2.67209938796098	7.20310192656014e-268	2.58199425676329e-265
ENSG00000237649	-4.20146160335045	1.20531794885842e-266	4.25791666716289e-264
ENSG00000113739	2.50212992207664	1.86108379282757e-265	6.48055963573887e-263
ENSG00000115548	3.09940931492624	3.07084040595066e-261	1.05424978725419e-258
ENSG00000117632	-3.33147481189562	7.88907085443133e-253	2.67077919551061e-250
ENSG00000133639	2.10687035308326	1.22061784132323e-252	4.07569313455532e-250
ENSG00000125629	2.62569998804221	5.61049872796769e-252	1.84805279046233e-249
ENSG00000134824	-3.44352405850055	2.40003989177767e-251	7.80012964827743e-249
ENSG00000138180	-4.13310900805981	6.2463709607646e-250	2.00335910748207e-247
ENSG00000152049	2.94181396048221	8.70304414376207e-250	2.75502209096364e-247
ENSG00000160285	-2.13457123027846	2.30627160352577e-249	7.20709876101803e-247
ENSG00000205336	-3.34705860143751	1.54173408288344e-247	4.75693269244099e-245
ENSG00000186918	5.52081320282869	7.81717561646388e-247	2.38179569564134e-244
ENSG00000128965	-2.68168015654575	1.01949023859185e-244	3.06791044020697e-242
ENSG00000172893	-2.71032572224732	5.04532117045356e-244	1.4997524820708e-241
ENSG00000184678	3.15512843542874	1.24597998952869e-243	3.6591279812966e-241
ENSG00000171241	-3.70528181114974	1.28836514408925e-241	3.73855956990185e-239
ENSG00000157456	-3.92773051804145	5.24684805930222e-241	1.50461084053519e-238
ENSG00000160752	-3.13024672621647	4.94637433336329e-235	1.40195202762477e-232
ENSG00000117152	-2.88560995582865	1.35780345576117e-233	3.80419071657223e-231
ENSG00000132688	-2.5694193289907	2.77676995603231e-233	7.69133723616905e-231
ENSG00000168077	-3.69453479861438	4.38002695540855e-233	1.19958603413577e-230
ENSG00000104765	2.78549109354632	7.62951417768481e-233	2.0663267564563e-230
ENSG00000148677	4.93798090606126	6.38987640916576e-231	1.7115740381694e-228
ENSG00000121068	-2.82510418966223	1.90018999197647e-227	5.03447076678548e-225
ENSG00000173530	2.75293157858702	6.04942761330089e-227	1.58553546316354e-224
ENSG00000162433	9.0182363615463	1.27207194224465e-226	3.29859080768228e-224
ENSG00000120833	-1.99980860426597	1.79568393657781e-226	4.60734694253516e-224
ENSG00000197852	3.19141891766954	2.72601586141695e-220	6.92152464812898e-218
ENSG00000172061	-3.05230206306963	5.8923651936233e-219	1.48068455252132e-216
ENSG00000155660	-3.10221233183812	5.68986311749435e-217	1.4152083009074e-214
ENSG00000104549	-2.81285165877189	3.13862883354752e-215	7.7276846280526e-213
ENSG00000145386	-3.18187545535094	1.04352527050238e-213	2.54359284684954e-211
ENSG00000136108	-3.20918624387754	2.24941771411694e-213	5.42866898827726e-211
ENSG00000143228	-4.2930767653266	1.03118007769202e-212	2.46421709742579e-210
ENSG00000163661	-3.88628753460831	1.22585453525911e-212	2.90099070844086e-210
ENSG00000137807	-3.60027900277494	1.87020240730891e-212	4.38328689213027e-210
ENSG00000143367	2.46815888621944	1.1109822992032e-210	2.57906605172171e-208
ENSG00000134690	-4.11335988734804	1.03260234094511e-208	2.37449830759784e-206
ENSG00000198712	-5.4365384868841	3.57108814680043e-208	8.13507229703368e-206
ENSG00000165304	-3.16208551611046	5.18355412454306e-206	1.16989936838646e-203
ENSG00000166922	4.38845699184629	1.06005628325486e-203	2.37053870681993e-201
ENSG00000196155	-2.62131630266409	3.28783420659491e-203	7.28554170779554e-201
ENSG00000117650	-4.6847337466137	1.2739717674717e-202	2.79757313802906e-200
ENSG00000248527	-5.83464664285403	1.68848818026202e-202	3.67472316016847e-200
ENSG00000112742	-3.81175215778926	6.09081561679128e-202	1.31383743946272e-199
ENSG00000206190	-2.51035249827251	2.19578678823704e-200	4.69493885642788e-198
ENSG00000117228	-3.47730506481534	4.90336173259522e-200	1.03929949766964e-197
ENSG00000183160	-4.85510198760494	2.93171442536525e-199	6.16039130329982e-197
ENSG00000198938	-5.49631705657164	6.42053752778829e-199	1.33761198495589e-196
ENSG00000100196	-2.98538421930404	3.13673179898097e-198	6.47947776272553e-196
ENSG00000028137	-2.68195074058489	4.44983575508391e-196	9.11468458236726e-194
ENSG00000198911	-2.75131449940552	2.3555687656302e-195	4.78474905518634e-193
ENSG00000111665	-3.60243280544044	5.25937976360027e-195	1.05948249370047e-192
ENSG00000116560	-1.46177135809836	7.7966128121335e-195	1.55772489586684e-192
ENSG00000126368	4.02643414706483	1.71835329576943e-194	3.40527329954307e-192
ENSG00000167900	-3.56040293979714	3.93510128277347e-192	7.73533014254865e-190
ENSG00000185585	-4.9173934777271	3.33121019331868e-191	6.49585987697143e-189
ENSG00000168952	2.52169022375108	3.90840455130994e-191	7.5609016617603e-189
ENSG00000153714	2.30905853810097	1.16943434166172e-190	2.24448520299248e-188
ENSG00000066279	-4.48921434605351	5.87860137147265e-189	1.11946022210661e-186
ENSG00000139211	-2.52096502289033	1.57377558862805e-187	2.97370387386115e-185
ENSG00000118971	2.61835285726442	4.82446220643738e-187	9.04586663707009e-185
ENSG00000197358	3.75447000077024	5.15005392794839e-186	9.58263851097268e-184
ENSG00000037637	1.9972004322719	1.16965727204811e-185	2.15987848531611e-183
ENSG00000124762	1.80461272784543	1.2033821270158e-184	2.20544656736919e-182
ENSG00000121039	2.65371667485507	2.6603864637011e-183	4.8393223919936e-181
ENSG00000170379	4.25402829699373	1.63217259796771e-182	2.94697830188615e-180
ENSG00000127663	2.12711066551512	1.0340462002646e-180	1.85329971554777e-178
ENSG00000123485	-4.11898335578173	5.53064716586867e-180	9.8401112896386e-178
ENSG00000122884	2.74802653077645	2.06778329749376e-179	3.6523346287254e-177
ENSG00000178999	-3.97969692771415	1.04061890262244e-177	1.82482631305194e-175
