ID	log2fold	p	p.adj
ENSG00000114268	3.63171612462786	0	0
ENSG00000156508	-2.57994967018575	0	0
ENSG00000198695	-7.48591114307196	0	0
ENSG00000165072	3.59351526930515	0	0
ENSG00000176971	-4.1495092239578	0	0
ENSG00000198763	-7.06935596672968	0	0
ENSG00000147872	2.84962169484137	0	0
ENSG00000114480	2.71453547217793	0	0
ENSG00000198712	-7.00563642538966	0	0
ENSG00000198899	-7.21959759947545	0	0
ENSG00000107796	-3.23028115127129	0	0
ENSG00000248527	-7.35430681777601	0	0
ENSG00000211459	-7.42591127112334	0	0
ENSG00000214517	3.35828237933889	0	0
ENSG00000104419	3.80234624538585	0	0
ENSG00000163017	-5.82679525350605	0	0
ENSG00000102144	2.37604698885069	0	0
ENSG00000042062	-5.46027530947491	0	0
ENSG00000198786	-7.17573263578102	0	0
ENSG00000111674	4.49809835005884	0	0
ENSG00000198727	-6.97766124125418	0	0
ENSG00000164761	-3.48369965264008	0	0
ENSG00000198959	-3.25252952115812	0	0
ENSG00000168542	-6.93631902821125	0	0
ENSG00000210082	-7.14691261399243	0	0
ENSG00000103888	-4.71895388070113	0	0
ENSG00000059804	3.00207539492146	0	0
ENSG00000164692	-4.37140629471798	0	0
ENSG00000173391	-4.75700165747038	0	0
ENSG00000108821	-3.992770085942	0	0
ENSG00000135766	3.72862456188247	0	0
ENSG00000162433	6.74363238614777	0	0
ENSG00000198938	-7.15031662673535	0	0
ENSG00000133639	2.5268125240287	0	0
ENSG00000146674	4.12621572359775	0	0
ENSG00000130164	-4.26455509718129	0	0
ENSG00000176171	4.31085337682676	0	0
ENSG00000198804	-7.2347461163245	0	0
ENSG00000225630	-6.84272927466669	0	0
ENSG00000198886	-7.04225305353858	0	0
ENSG00000198888	-7.21115823561691	0	0
ENSG00000155189	3.33042669650566	0	0
ENSG00000117643	-4.34159833932373	0	0
ENSG00000134333	3.69491307420214	0	0
ENSG00000228253	-7.03073375262507	0	0
ENSG00000197632	3.56200502668708	0	0
ENSG00000168398	-2.98875196734041	6.47474329141241e-306	3.42431263818379e-303
ENSG00000171388	6.17182991718889	3.28428373529851e-300	1.7007800168399e-297
ENSG00000130702	-3.29683655033042	2.89068636007207e-299	1.46640389494513e-296
ENSG00000072952	-4.20881916438551	2.23781686342256e-295	1.11250827548189e-292
ENSG00000104332	-2.83517852710788	3.362415068001e-295	1.6388147322608e-292
ENSG00000087074	2.17437616522429	4.76499644247073e-294	2.27775993404798e-291
ENSG00000162512	-2.51430958019986	7.41091656964627e-290	3.4757198711641e-287
ENSG00000100196	-3.59535926728546	1.06486629105197e-288	4.90173729568124e-286
ENSG00000198840	-7.15205739200017	1.43293884726236e-288	6.47610198661826e-286
ENSG00000173801	-3.5696635890442	5.65828641043336e-282	2.51157188043111e-279
