ID	log2fold	p	p.adj
ENSG00000198901	-4.38481370508366	0	0
ENSG00000176971	4.07195423836847	0	0
ENSG00000265972	5.79601527993062	0	0
ENSG00000118971	3.46630650818827	0	0
ENSG00000088325	-3.59019379629309	0	0
ENSG00000128567	-4.01290871712399	0	0
ENSG00000112984	-4.74380848055524	0	0
ENSG00000173391	5.53266110964357	0	0
ENSG00000103257	-2.82002058252218	0	0
ENSG00000089685	-4.3926017699396	0	0
ENSG00000140450	5.91853140108245	0	0
ENSG00000170961	-5.02017560928872	0	0
ENSG00000090889	-4.58873306400209	0	0
ENSG00000024526	-4.54363122432975	1.42418148557029e-299	2.52863422763005e-296
ENSG00000171246	-3.82319380636005	6.05341607244701e-295	1.00313175541877e-291
ENSG00000042062	2.8840532713597	4.15538934806656e-287	6.45565706405565e-284
ENSG00000168078	-4.427294450161	7.20075683047117e-287	1.05287772079425e-283
ENSG00000126787	-4.77609940527767	3.35303386703842e-286	4.63035349072077e-283
ENSG00000113368	-4.37320640533058	1.2116778798156e-282	1.58519352939876e-279
ENSG00000169679	-4.51846478931452	2.73888600561379e-280	3.4040244720771e-277
ENSG00000138180	-4.54162075589467	1.80854567552574e-266	2.14071523126397e-263
ENSG00000134057	-3.65789261365227	3.65487314472924e-263	4.12950826175158e-260
ENSG00000184678	3.25836104505773	9.31045805402958e-259	1.00621763412614e-255
ENSG00000092820	-1.88938063579897	1.02240461041544e-248	1.05891297504569e-245
ENSG00000237649	-4.22800179962649	1.55956606734534e-247	1.55064534944013e-244
ENSG00000158406	4.0103236715884	2.28915239017931e-247	2.18851772933412e-244
ENSG00000117399	-4.68102288096199	3.412844169453e-240	3.14196546370716e-237
ENSG00000119938	2.71957021608884	3.42766430988401e-235	3.04290899109953e-232
ENSG00000173559	2.55640650136895	4.92323723470744e-234	4.21989337734906e-231
ENSG00000145386	-3.44926891293329	1.00555095194544e-230	8.33166000416924e-228
ENSG00000167900	-4.03821177061722	1.63113781524018e-230	1.30790944107823e-227
ENSG00000120802	-3.06655962319682	2.91418449676392e-229	2.2636838761269e-226
ENSG00000122952	-3.03191659858828	1.80136905249565e-221	1.3568675920571e-218
ENSG00000187634	-4.19826294404738	5.75426765950038e-218	4.20687738859415e-215
ENSG00000176887	-2.90091536487973	3.22885154602465e-217	2.29313036798671e-214
ENSG00000117643	2.6933335266078	2.11856054913827e-215	1.46280721027583e-212
ENSG00000040275	-2.08552902368041	8.21274374535505e-215	5.51741003454839e-212
ENSG00000170345	6.06835286994937	1.93888957228997e-214	1.26828889732662e-211
ENSG00000171241	-3.51503856642499	2.74802367549001e-214	1.75147755132449e-211
ENSG00000166851	-4.16215767717683	2.86142245385439e-206	1.77815944838646e-203
ENSG00000116560	-1.51028858873704	1.00002580155178e-205	6.06283935345672e-203
ENSG00000139211	-2.71903633672083	2.3606029133476e-205	1.39708349088289e-202
ENSG00000138160	-3.67291821390021	2.38328662590268e-203	1.37770594558286e-200
ENSG00000066279	-4.87256428829911	4.34484576129255e-203	2.45454161564656e-200
ENSG00000164109	-3.14775486385789	4.1375399133878e-202	2.28548510282401e-199
ENSG00000107796	2.54462575185924	4.03937257710973e-201	2.18275400324384e-198
ENSG00000104368	3.63307137341205	3.6584618326182e-197	1.93485927177427e-194
ENSG00000120437	-1.99434521002385	4.96249110474075e-196	2.56984669563627e-193
ENSG00000076382	-3.53578693154348	7.1793609603376e-196	3.64198725287983e-193
ENSG00000143228	-4.45694114894976	8.21182998669852e-195	4.0824291595873e-192
ENSG00000157456	-3.44753312041166	9.07373253689424e-194	4.42246607195255e-191
ENSG00000180573	2.93180963671742	9.03459816537033e-193	4.31871166531943e-190
ENSG00000170312	-3.64742589732362	3.8069496616458e-191	1.78545939131188e-188
ENSG00000161800	-2.97849172504364	6.22517925011547e-191	2.86554223370593e-188
ENSG00000129195	-4.43583531512292	6.49979286853543e-191	2.93755184242155e-188
ENSG00000135218	3.56937738015203	1.7164371198507e-190	7.6188352657373e-188
ENSG00000112742	-4.03379305419533	2.55330120547747e-187	1.11346329937813e-184
ENSG00000164761	2.6191218069651	1.05361900752083e-186	4.51548408102503e-184
ENSG00000213626	2.29485927793808	5.00593924833122e-185	2.10902765925033e-182
ENSG00000134690	-3.89936427467082	1.00477449032058e-184	4.1626132509831e-182
ENSG00000107984	-2.65643061616812	1.51847603569011e-184	6.18766538018837e-182
ENSG00000128564	-4.02865419260999	4.74424895338835e-184	1.90206122958668e-181
ENSG00000165304	-3.00049738245883	8.12572206947321e-182	3.20604878541104e-179
ENSG00000075218	-3.78029735225142	1.16839823701385e-177	4.53794921522708e-175
ENSG00000164104	-2.69422892132674	2.45362158902866e-176	9.38302643669005e-174
ENSG00000135919	2.74982740448891	5.05919450706773e-176	1.90539996760883e-173
ENSG00000149136	-1.82077042093885	3.300088728143e-172	1.22433291814105e-169
