ID	Prolif_1	Prolif_2	Prolif_3	Senes_1	Senes_2	Senes_3	Senes_MtD_1	Senes_MtD_2	Senes_MtD_3
ENSG00000111671	451.86	499.45	445.75	450.15	597.61	398.75	173.36	203.51	188.1
ENSG00000110514	1785.48	1890.52	1863.08	1941.68	1658.86	1917.69	1919.53	1760.47	2019.99
ENSG00000086015	2403.88	2786.54	2702.34	4085.61	4001.47	3837.43	2958.75	2979.26	2915.59
ENSG00000070770	3182.37	2941.3	3037.81	1895	1780.08	1941.32	2581.2	2757.8	2572.43
ENSG00000169740	384.72	404.48	402.8	415.93	524.24	356.61	651.08	857.42	738.85
ENSG00000215869	1.29	1.76	4.64	3.11	0	1.03	0.96	2.24	5.93
ENSG00000261609	299.52	253.24	305.29	357.84	253.08	294.95	653.97	585.08	540.58
ENSG00000169744	502.21	468.67	482.89	436.67	418.97	516.93	766.66	756.41	683.78
ENSG00000261606	0	0	0	0	3.19	1.03	1.93	0.75	1.69
ENSG00000215866	3.87	6.16	5.8	10.37	5.32	4.11	0.96	1.5	0.85
ENSG00000215861	38.73	32.53	26.7	20.74	27.65	34.94	27.93	44.14	36.43
ENSG00000168298	1.29	4.4	2.32	17.63	21.27	16.44	16.37	8.98	12.71
ENSG00000168297	1618.94	1536.16	1556.63	1294.45	1223.94	1470.64	723.32	713.02	710.89
ENSG00000168291	2762.79	2687.18	2582.78	2084.81	2229.89	1976.27	1776.02	2030.57	1853.91
ENSG00000270591	1.29	0.88	1.16	0	1.06	3.08	0	0	2.54
ENSG00000225101	0	0	3.48	6.22	8.51	10.28	5.78	7.48	9.32
ENSG00000226457	7.75	14.07	12.77	10.37	8.51	19.53	7.71	5.24	8.47
ENSG00000226453	0	0	0	1.04	2.13	2.06	3.85	3.74	5.08
ENSG00000226450	3.87	6.16	4.64	21.78	17.01	23.64	4.82	8.98	9.32
ENSG00000141854	11.62	21.1	18.57	62.23	89.32	59.61	26	29.18	29.66
ENSG00000149798	1045.73	1031.43	1038.91	1265.41	1397.27	1191.1	1254.97	1310.07	1064.22
ENSG00000197847	2.58	8.79	8.13	15.56	19.14	22.61	29.86	26.93	43.21
ENSG00000250564	0	0	0	1.04	1.06	0	1.93	3.74	1.69
ENSG00000250565	81.33	89.69	68.49	56.01	46.79	65.77	71.27	74.82	51.69
ENSG00000187961	1107.7	1255.66	1402.24	1173.1	1324.96	1007.15	983.36	1156.69	1159.97
ENSG00000250568	10.33	7.91	5.8	3.11	9.57	7.19	3.85	8.23	9.32
ENSG00000250569	2.58	2.64	5.8	9.33	6.38	12.33	2.89	3.74	3.39
ENSG00000162840	706.19	855.57	796.31	546.61	705.02	433.69	851.41	1129.01	1073.54
ENSG00000162843	0	2.64	1.16	5.19	2.13	3.08	1.93	0.75	0
ENSG00000162849	98.12	65.07	85.9	183.59	146.75	200.4	723.32	615.75	673.61
ENSG00000149243	25.82	21.1	24.38	56.01	65.93	52.41	35.64	31.42	38.13
ENSG00000184702	699.73	699.93	659.33	631.67	647.59	614.56	152.18	178.07	193.19
ENSG00000171903	0	0	0	4.15	2.13	2.06	0	0.75	0
ENSG00000163462	253.04	264.67	249.57	268.64	291.36	254.87	313.98	311.99	312.66
ENSG00000163463	87.79	83.53	119.56	181.51	226.5	154.15	67.42	74.82	62.7
ENSG00000163466	16895.6	17983.72	17006.86	13461.04	14434.2	13439.23	17118.78	18441.21	17673.18
ENSG00000163467	15.49	10.55	12.77	20.74	10.63	17.47	27.93	23.94	24.57
ENSG00000163468	11909.67	12772.03	11710.14	9233.33	10031.84	9436.34	9818.21	11207.03	10309.21
ENSG00000154760	23.24	22.86	25.54	4.15	7.44	15.42	0.96	5.24	3.39
ENSG00000162599	138.14	119.59	105.63	72.61	75.5	105.85	73.2	59.11	72.87
ENSG00000162592	1.29	0.88	1.16	1.04	3.19	1.03	0.96	1.5	3.39
ENSG00000162591	1458.85	1488.68	1567.08	1742.53	1895.99	1657.68	242.71	240.91	217.76
ENSG00000162595	36.15	32.53	24.38	23.86	37.22	33.91	22.15	22.45	23.72
ENSG00000272384	1.29	0	0	1.04	0	0	0	2.99	4.24
ENSG00000118640	15.49	9.67	6.96	28	41.47	27.75	25.04	25.44	33.89
ENSG00000263603	0	0.88	0	4.15	1.06	3.08	0	0	0
ENSG00000069329	8052.1	7608.7	7520.81	5769.02	4585.26	6080.9	8438.03	7914.28	8074.01
ENSG00000253141	1.29	0.88	1.16	4.15	6.38	5.14	0.96	1.5	0
ENSG00000115073	2773.11	3140.03	2982.09	2684.32	3126.31	2589.8	1118.2	1352.71	1300.62
ENSG00000213853	1373.65	1403.38	1311.7	537.28	679.49	640.26	269.68	279.07	333.84
ENSG00000213851	15.49	10.55	11.61	6.22	3.19	3.08	6.74	5.24	9.32
ENSG00000258590	0	0	0	8.3	8.51	10.28	8.67	11.97	14.4
ENSG00000213857	21.95	21.1	26.7	15.56	17.01	22.61	8.67	14.96	10.17
ENSG00000213856	24.53	38.69	22.06	19.71	17.01	19.53	38.53	43.39	44.06
ENSG00000213859	715.23	745.66	706.93	751.98	796.47	768.72	2744.94	2703.19	2807.14
ENSG00000178773	2321.26	2611.56	2660.55	1379.5	1608.88	1141.77	2088.08	2382.21	2263.16
ENSG00000278071	2.58	0.88	0	3.11	2.13	0	0	0	0.85
ENSG00000278075	6.46	1.76	1.16	3.11	5.32	3.08	12.52	6.73	10.17
