ID	SYMBOL	CHROMOSOME	START	STOP	BIOTYPE
ENSG00000284862	CCDC39.2	3	180602858	180684942	gene
ENSG00000182230	FAM153B.2	5	176060689	176116015	gene
ENSG00000188626	GOLGA8M.2	15	28701954	28738384	gene
ENSG00000283239	KBTBD11-OT1.2	8	1763888	1958627	gene
ENSG00000280987	MATR3.2	5	139273752	139331671	gene
ENSG00000128655	PDE11A.2	2	177623244	178072777	gene
ENSG00000254093	PINX1.2	8	10764961	10839884	gene
ENSG00000168255	POLR2J3.2	7	102537918	102572653	gene
ENSG00000257520	SFTA3.2	14	36473207	36521149	gene
ENSG00000105501	SIGLEC5.2	19	51611927	51645545	gene
ENSG00000182957	SPATA13.2	13	23979805	24307074	gene
ENSG00000285053	TBCE.2	1	235328570	235448952	gene
ENSG00000158427	TMSB15B.2	X	103918896	103966712	gene
ENSG00000276871	5_8S_rRNA	22	11249809	11249959	gene
ENSG00000285776	5S_rRNA	X	69672479	69672597	gene
ENSG00000202198	7SK	6	52995620	52995950	gene
ENSG00000121410	A1BG	19	58345178	58353492	gene
ENSG00000268895	A1BG-AS1	19	58347718	58355455	gene
ENSG00000148584	A1CF	10	50799409	50885675	gene
ENSG00000175899	A2M	12	9067664	9116229	gene
ENSG00000245105	A2M-AS1	12	9065163	9068689	gene
ENSG00000166535	A2ML1	12	8822621	8887001	gene
ENSG00000256661	A2ML1-AS1	12	8776219	8830947	gene
ENSG00000256904	A2ML1-AS2	12	8819816	8820713	gene
ENSG00000256069	A2MP1	12	9228533	9275817	gene
ENSG00000184389	A3GALT2	1	33306766	33321098	gene
ENSG00000128274	A4GALT	22	42692121	42721298	gene
ENSG00000118017	A4GNT	3	138123713	138132390	gene
ENSG00000265544	AA06	17	33529787	33533760	gene
ENSG00000094914	AAAS	12	53307456	53324864	gene
ENSG00000081760	AACS	12	125065434	125143333	gene
ENSG00000250420	AACSP1	5	178764861	178818435	gene
ENSG00000114771	AADAC	3	151814073	151828488	gene
ENSG00000197953	AADACL2	3	151733916	151761339	gene
ENSG00000242908	AADACL2-AS1	3	151751443	151928175	gene
ENSG00000188984	AADACL3	1	12716110	12728760	gene
ENSG00000204518	AADACL4	1	12644085	12667076	gene
ENSG00000240602	AADACP1	3	151770428	151784894	gene
ENSG00000109576	AADAT	4	170060222	170091699	gene
ENSG00000103591	AAGAB	15	67200667	67255195	gene
ENSG00000115977	AAK1	2	69457997	69674349	gene
ENSG00000087884	AAMDC	11	77821109	77918432	gene
ENSG00000127837	AAMP	2	218264129	218270178	gene
ENSG00000129673	AANAT	17	76453351	76470117	gene
ENSG00000131043	AAR2	20	36236131	36270918	gene
ENSG00000205002	AARD	8	116938207	116944487	gene
ENSG00000090861	AARS1	16	70251983	70289707	gene
ENSG00000249038	AARS1P1	4	132592084	132592536	gene
ENSG00000124608	AARS2	6	44298731	44313347	gene
ENSG00000266967	AARSD1	17	42950526	42964498	gene
ENSG00000234969	AARSD1P1	X	74069276	74070832	gene
ENSG00000157426	AASDH	4	56338287	56387508	gene
ENSG00000149313	AASDHPPT	11	106075501	106098699	gene
ENSG00000008311	AASS	7	122064583	122144308	gene
ENSG00000215458	AATBC	21	43805758	43812567	gene
ENSG00000275700	AATF	17	36948925	37056871	gene
ENSG00000181409	AATK	17	81110487	81166221	gene
ENSG00000281376	ABALON	20	31721507	31723409	gene
ENSG00000183044	ABAT	16	8674596	8784575	gene
ENSG00000165029	ABCA1	9	104781006	104928155	gene
ENSG00000154263	ABCA10	17	69147214	69244846	gene
ENSG00000251595	ABCA11P	4	425435	474129	gene
ENSG00000144452	ABCA12	2	214931542	215138626	gene
ENSG00000179869	ABCA13	7	48171458	48647497	gene
ENSG00000238098	ABCA17P	16	2339150	2426699	gene
ENSG00000107331	ABCA2	9	137007234	137028922	gene
ENSG00000167972	ABCA3	16	2275881	2340746	gene
ENSG00000198691	ABCA4	1	93992834	94121148	gene
ENSG00000154265	ABCA5	17	69244311	69327244	gene
ENSG00000154262	ABCA6	17	69078702	69141895	gene
ENSG00000064687	ABCA7	19	1039997	1065572	gene
ENSG00000141338	ABCA8	17	68867289	68955392	gene
ENSG00000154258	ABCA9	17	68974488	69060949	gene
ENSG00000231749	ABCA9-AS1	17	68944531	69042784	gene
ENSG00000085563	ABCB1	7	87503017	87713323	gene
ENSG00000135776	ABCB10	1	229516582	229558707	gene
ENSG00000274099	ABCB10P1	15	23179869	23182049	gene
ENSG00000261524	ABCB10P3	15	28402868	28405033	gene
ENSG00000260053	ABCB10P4	15	28506625	28508808	gene
